word_bare	forms	n_variants_before	total_count
רב	רַב | רֶבּ	13	2174
רבי	רַבִּי | רֶבִּי	10	1958
אבר	אַבֶּר | אֵבֶר	14	243
מצות	מִצְוֹת | מַצּוֹת	6	228
עם	עַם | עִם	5	162
דין	דִּין | דַּיָּן	10	157
זון	זוּן | זוֹן	4	153
חדש	חֹדֶשׁ | חָדָשׁ	3	135
זכר	זֵכֶר | זָכָר	6	129
עשר	עֶשֶׂר | עָשָׂר	7	97
עז	עַז | עֶז	5	94
פרי	פֿרִי | פְּרִי	8	91
שבט	שֵׁבֶט | שְׁבָט	6	84
מקים	מְקַיֵּם | מְקֻיָּם	2	81
פארשטעלן	פֿאָרְשְׁטֶעלְן | פֿאַרְשְׁטֶעלְן	21	73
מוסר	מוּסָר | מוֹסֵר	5	69
מגלה	מְגַלֶּה | מְגִלָּה	4	67
חיות	חַיּוֹת | חַיּוּת	7	65
ביום	בַּיּוֹם | בְּיוֹם	4	63
הא	הָא | הֵא	6	63
רצון	רָצוֹן | רְצוֹן	3	60
שכל	שֵׂכֶל | שֶׁכָּל	6	60
פאסט	פּאַסְט | פֿאַסְט	15	53
עמו	עִמּוֹ | עַמּוֹ	2	53
דינים	דִּינִים | דַּיָּנִים	6	52
דערמאנט	דֶערמַאַנְט | דֶערמָאנְט	12	52
מדבר	מִדְבָּר | מְדַבֵּר	4	50
ראיה	רְאָיָה | רְאִיָּה	10	47
אבי	אַבִּי | אָבִי	8	42
שני	שֵׁנִי | שְׁנֵי	5	41
שמונה	שְׁמוֹנָה | שְׁמוֹנֶה	3	40
פה	פֶּה | פֹּה	2	40
אלקי	אֱלֹקֵי | אֱלֹקַי	5	40
מקדש	מְקַדֵּשׁ | מִקְדָּשׁ	6	34
עלי	עֵלִי | עָלַי	7	31
קאם	קאַם | קאָם	6	30
אלי	אֵלַי | אֵלִי	4	29
שנים	שְׁנַיִם | שָׁנִים	5	28
יד	יָד | יִד	4	26
יצא	יָצָא | יֵצֵא	4	25
עליה	עֲלִיָּה | עָלֶיהָ	5	24
שירים	שִׁירִים | שְׁיָרַיִם	4	24
ארט	אָרְט | אַרְט	4	23
ווארן	וואָרְן | וואַרְן	8	23
מות	מָוֶת | מוֹת	4	22
אתו	אֹתוֹ | אִתּוֹ	3	22
עבר	עָבַר | עֶבֶר	11	21
זכרון	זִכָּרוֹן | זִכְרוֹן	3	21
אי	אִי | אַי	6	21
ענג	עֶנְג | עֹנֶג	5	21
חלב	חָלָב | חֵלֶב	6	19
ויאמרו	וַיֹּאמְרוּ | וְיֹאמְרוּ	2	19
רוחל	רוּחֶל | רוֹחֵל	2	19
פתח	פֶּתַח | פְּתַח	7	18
שורה	שׁוּרָה | שׁוֹרָה	6	18
מכון	מְכַוֵּן | מָכוֹן	5	17
פוטער	פּוּטֶער | פֿוּטֶער	5	16
מיד	מִיָּד | מִיד	4	16
אדני	אֲדֹנִי | אֲדֹנָי	2	16
מותר	מְוַתֵּר | מוֹתַר	4	16
יפה	יָפָה | יָפֶה	4	15
אחי	אֲחַי | אָחִי	4	15
יקרא	יִקְרָא | יִקָּרֵא	2	15
אנא	אַנָא | אָנָּא	4	14
שעיר	שֵׂעִיר | שָׂעִיר	2	13
ידע	יֵדַע | יָדַע	3	13
שכח	שָׁכַח | שְׁכֹּחַ	4	13
מלפני	מִלִּפְנֵי | מִלְּפָנַי	3	13
ויראו	וַיִּרְאוּ | וְיָרְאוּ | וַיַּרְאוּ	5	12
שפר	שָׁפָר | שֶׁפֶר	5	12
לבנים	לְבָנִים | לְבֵנִים	3	12
זכרו	זִכְרוּ | זִכְרוֹ	2	12
מורי	מוֹרַי | מוֹרִי	3	12
חזיר	חֲזִיר | חַזִיר	3	12
פנה	פָנָה | פִּנָּה	3	12
שבו	שֶׁבּוֹ | שְׁבוּ	3	12
אלהי	אֱלֹהֵי | אֱלֹהַי	2	11
אמרו	אָמְרוּ | אִמְרוּ	2	11
מעין	מְעַיֵּן | מֵעֵין	4	11
עולות	עוֹלוֹת | עַוְלוֹת	2	11
ירבה	יַרְבֶּה | יִרְבֶּה	2	11
ערבות	עַרְבוּת | עֲרָבוֹת	5	11
צא	צֵא | צָאַ	5	10
דרש	דָּרַשׁ | דְּרָשׁ	5	10
משלים	מַשְׁלִים | מְשָׁלִים	3	10
צרור	צְרוֹר | צָרוֹר	3	10
בור	בּוֹר | בּוּר	2	10
קדשנו	קַדְּשֵׁנוּ | קִדְּשָׁנוּ	3	10
מר	מַר | מֵר	5	10
נחם	נִחַם | נָחָם	3	10
תרצה	תִּרְצָה | תִּרְצֶה	3	10
הדינים	הַדִּינִים | הַדַּיָּנִים	2	10
תחיה	תְּחִיָּה | תְּחַיֶּה	3	9
מס	מַס | מֻס	3	9
עיני	עֵינֵי | עֵינַי	3	9
כלב	כֶּלֶב | כָּלֵב	2	9
משלם	מְשֻׁלָּם | מְשַׁלֵּם	3	9
דברו	דְּבָרוֹ | דַּבְּרוּ	2	9
ארים	אַרִים | אָרִים	5	8
מאז	מֵאָז | מַאַז	2	8
אינה	אֵינֶה | אֵינָהּ	2	8
לאט	לְאַט | לָאָט	6	8
יור	יוֹר | יוּר	2	8
פרושים	פֵּרוּשִׁים | פְּרוּשִׁים	4	8
עמק	עֵמֶק | עֹמֶק	3	8
שעורים	שִׁעוּרִים | שְׂעוֹרִים	2	8
קהל	קָהָל | קְהַל	2	8
מפרש	מְפָרֵשׁ | מְפֹרָשׁ	2	8
פקד	פָּקֹד | פֻּקַּד	3	8
ארך	אֶרֶךְ | אֹרֶךְ	3	8
לשבח	לְשַׁבֵּחַ | לְשֶׁבַח	2	8
חבל	חֲבָל | חֶבֶל	3	8
אחיו	אָחִיו | אֶחָיו	3	7
יכלו	יִכְלוּ | יָכְלוּ	2	7
צר	צָר | צַר	2	7
הקהל	הַקָּהָל | הַקְהֵל	3	7
למלך	לַמֶּלֶךְ | לְמֶלֶךְ	2	7
שב	שַׁב | שֶׁבּ	3	7
בנו	בָּנוּ | בְּנוֹ	2	7
מפרסם	מְפֻרְסָם | מְפַרְסֵם	2	6
ויוסף	וְיוֹסֵף | וַיּוֹסֶף	3	6
שהם	שֹׁהַם | שֶׁהֵם	2	6
ישמע	יִשְׁמַע | יִשָּׁמַע	2	6
הו	הוּ | הוֹ	2	5
פשוטה	פְּשׁוּטָה | פְּשׁוּטֶה	3	5
רמה	רָמָה | רִמָּה	2	5
שדך	שַׁדָּךְ | שָׂדֶךָ	3	5
שמעו	שִׁמְעוּ | שָׁמְעוּ	2	5
מערב	מַעֲרָב | מְעָרֵב	5	5
ושנים	וְשָׁנִים | וּשְׁנַיִם	2	5
בניך	בָּנַיִךְ | בָּנֶיךָ	5	5
כלות	כַּלּוֹת | כְּלוֹת	2	5
מחיב	מְחַיֵּב | מְחֻיָּב	3	5
מחתן	מְחֻתָּן | מְחַתֵּן	2	5
הבקר	הַבֹּקֶר | הַבָּקָר	2	5
שחט	שַׁחְט | שָׁחַט	3	5
באבן	בָאָבְן | בְּאֶבֶן	4	5
קן	קֵן | קֶן	2	5
עלם	עָלַם | עֶלֶם	3	4
אמי	אִמִּי | אַמֵי	3	4
חמש	חֹמֶשׁ | חֲמֵשׁ	4	4
עניני	עִנְיָנֵי | עִנְיָנִי	4	4
יזכה	יִזְכֶּה | יְזַכֶּה	2	4
מקל	מַקֵּל | מִקַּל	4	4
וישמח	וַיִּשְׂמַח | וְיִשְׂמַח	2	4
אדע	אַדֶע | אֵדָע	3	4
ניצל	נִיצָּל | נִיצְל	2	4
עלה	עֲלֵה | עֹלָה	3	4
עקר	עָקָר | עִקָּר	4	4
מסכן	מְסַכֵּן | מְסֻכָּן	3	4
תשאל	תִּשְׁאַל | תִּשָּׁאֵל	2	3
ובנה	וּבְנֵה | וּבָנָה	3	3
ענה	עֲנֵה | עֶנֶה	3	3
ערוב	עֵרוּב | עָרוֹב	3	3
שלה	שְׁלָה | שֶׁלָּהּ	2	3
המצות	הַמַּצּוֹת | הַמִּצְוֹת	2	3
זרעך	זַרְעֲךָ | זַרְעֶךָ	2	3
שאל	שָׁאַל | שַׁאַל	2	3
ורעות	וְרֵעוּת | וְרָעוֹת	3	3
שלו	שְׂלָו | שֶׁלּוֹ	2	3
בלוז	בְּלוּז | בְּלוּזּ	2	3
תחתיה	תַּחְתִּיָּה | תַּחְתֶּיהָ	2	3
לחדש	לְחַדֵּשׁ | לַחֹדֶשׁ	3	3
משכנות	מִשְׁכְּנוֹת | מַשְׁכָּנוֹת	2	3
רעי	רֹעֵי | רֵעַי	2	3
פרוש	פֵּרוּשׁ | פָּרוּשׁ	3	3
