word	pointed	rule_ipa	observed_ipa	count
את	אֶת	as	es	350
פרשת	פָּרָשַׁת	frʃs	parʃəs	348
רש"י	רַשִׁ"י	rʃ"i	raʃi	345
פשט	פְּשָׁט	fʃt	pʃat	316
השם	הַשֵּׁם	hʃəm	haʃem	301
סתם	סתּם	ssəm	stam	224
מה	מַה	mh	ma	203
של	שֶׁל	ʃl	ʃel	182
בן	בֶּן	bən	ben	181
בית	בֵּית	bis	bejs	160
ר׳	ר׳	rʔ	reb	156
שם	שֵׁם	ʃəm	ʃem	154
קרבן	קָרְבָּן	krbən	korbn	112
שמחה	שִׂמְחָה	ʃmxh	simxə	109
תשובה	תְּשׁוּבָה	sʃibh	tʃuvə	108
יצחק	יִצְחָק	iʦxk	יצחק	97
בשם	בְּשֵׁם	bʃəm	bəʃem	92
ונצליח	וְנַצְלִיחַ	inʦlix	vənatsliəx	91
נס	נֵס	ns	nes	87
הר	הַר	hr	har	84
מן	מִן	mən	min	83
נח	נֹחַ	nx	noəx	81
רמב"ם	רַמְבַּ"ם	rmb"m	rambam	79
בר	בַּר	br	bar	76
שלמה	שְׁלֹמֹה	ʃlmh	ʃlojme	69
חי	חַי	xi	xaj	69
ה׳	ה׳	hʔ	aʃem	68
מקבל	מְקַבֵּל	mkbl	məkabl	68
מדרש	מִדְרָשׁ	mdrʃ	midrəʃ	67
בחור	בָּחוּר	bxir	boxər	64
הזה	הַזֶּה	hʒ	hazə	63
כהן	כֹּהֵן	xhn	kojən	63
פֿלעגט	פֿלעגט	flɛɡt	flegt	62
מחלוקת	מַחֲלוֹקֶת	mxliks	maxlojkes	61
אתה	אַתָּה	aʃ	ato	59
חסידים	חֲסִידִים	xsidim	חסידים	59
מצות	מַצּוֹת	mʦis	matsəs	59
לברכה	לִבְרָכָה	lbrxh	לברכה	58
חתם	חֲתַם	xsəm	xasəm	57
תלמידים	תַּלְמִידִים	slmidim	talmidim	56
פֿרעגט	פֿרעגט	frɛɡt	fregt	56
מלך	מֶלֶךְ	mlx	meləx	55
פּרשת	פָּרָשַׁת	prʃs	parʃəs	54
מצרים	מִצְרַיִם	mʦrim	mitsrajim	52
שכר	שׂכר	ʃxr	sxar	51
צדקה	צְדָקָה	ʦdx	צדקה	49
חזק	חֲזַק	xzk	xazak	45
מלכות	מַלְכוּת	mlxis	malxəs	45
משנה	מִשְׁנָה	mʃnh	miʃnə	45
חז"ל	חַזַ"ל	xz"l	xazal	43
חסד	חֶסֶד	xsd	xesed	43
מכות	מַכּוֹת	mxis	makəs	43
פּשט	פְּשָׁט	pʃt	pʃat	43
חסיד	חָסִיד	xsid	xosid	43
מוחל	מוֹחֵל	mixl	mojxl	43
גם	גַּם	ɡəm	gam	43
חידוש	חִידּוּשׁ	xidiʃ	xidəʃ	43
מכל	מִכָּל	mxl	mikol	43
רמז	רֶמֶז	rmz	reməz	43
"איך	"איך	"ix	איך	42
אות	אוֹת	is	os	42
חומש	חוּמָשׁ	ximʃ	xuməʃ	42
המלך	הַמֶּלֶךְ	hmlx	hameləx	42
חיה	חַיָּה	xih	xajə	41
בם	בַּם	bəm	bam	41
רחל	רָחֵל	rxl	roxl	40
בשעת	בִּשְׁעַת	bʃɛs	biʃas	40
שר	שַׂר	ʃr	sar	38
מנחה	מִנְחָה	mnxh	minxə	37
המן	הָמָן	hmən	homən	37
זלמן	זַלְמָן	zlmən	zalmən	36
מדות	מִדּוֹת	mdis	midəs	35
ישועות	יְשׁוּעוֹת	iʃiɛis	jəʃiəs	35
פינחס	פִּינְחָס	finxs	pinxəs	34
שרה	שָׂרָה	ʃrh	sorə	34
אהבת	אַהֲבַת	ahbs	ahavas	34
תמוז	תַּמּוּז	smiz	taməz	34
תפילין	תּפֿילין	sfilin	tfiln	34
סתּם	סְתָּם	stəm	stam	33
חלילה	חָלִילָה	xlilh	חלילה	33
בת	בַּת	bs	bas	33
חזן	חַזָּן	xzən	xazn	33
זה	זֶה	ʒ	ze	33
משכן	מִשְׁכָּן	mʃxən	miʃkn	33
זכות	זְכוּת	zxis	זכות	32
חיות	חיות	xjis	xajəs	32
טלית	טַלִּית	tlis	taləs	32
חד	חַד	xd	xad	31
באמת	בֶּאֱמֶת	bɛmɛs	beməs	31
ציצית	צִיצִית	ʦiʦis	tsitsəs	31
אבות	אָבוֹת	abis	ovəs	30
קורח	קֹרַח	kirx	kojrəx	30
שכינה	שְׁכִינָה	ʃxinh	ʃxinə	30
לך	לְךָ	lx	לך	30
מנחם	מְנַחֵם	mnxəm	mənaxəm	29
צרות	צָרוֹת	ʦris	tsorəs	29
תוספות	תּוֹסָפוֹת	sisfis	תוספות	29
הנה	הִנֵּה	hnh	hine	29
סגולה	סְגוּלָה	sɡilh	sgulə	29
שמיטה	שְׁמִיטָה	ʃmith	ʃmitə	29
בהר	בְּהַר	bhr	bəhar	29
המקדש	הַמִּקְדָּשׁ	hmkdʃ	amikdəʃ	29
עבודת	עֲבוֹדַת	ɛbids	avojdəs	29
פחד	פַּחַד	fxd	paxəd	28
תם	תָּם	səm	tam	28
מדרגה	מַדְרֵגָה	mdrɡh	מדרגה	28
מכה	מַכָּה	mxh	makə	28
אחד	אֶחָד	axd	exəd	28
חס	חַס	xs	xas	27
יחד	יַחַד	ixd	jaxad	27
ספירה	סְפִירָה	sfirh	sfirə	27
פֿרעגן	פֿרעגן	frɛɡən	fregn	27
אֶת	אֶת	as	es	27
זכר	זֵכֶר	zxr	זכר	27
לשם	לְשֵׁם	lʃəm	ləʃem	27
תיקון	תיקון	sikin	תיקון	27
התורה	הַתּוֹרָה	hsirh	התורה	26
השבת	הַשַּׁבָּת	hʃubɛs	haʃabəs	26
קבלת	קַבָּלַת	kbls	kaboləs	26
מסירות	מְסִירַת	msiris	msirəs	26
מנשה	מְנַשֶּׁה	mnʃh	mənaʃə	26
דורות	דּוֹרוֹת	diris	dojres	26
קטן	קָטָן	ktən	kotn	26
רמב"ן	רַמְבַּ"ן	rmb"n	ramban	25
למטה	לְמַטָּה	lmth	ləmatə	25
עשירות	עֲשִׁירות	ɛʃiris	aʃirəs	25
למעשה	לְמַעֲשֶׂה	lmɛʃh	למעשה	25
רבותי	רַבּוֹתַי	rbisi	rabosaj	25
חפץ	חָפֵץ	xfʦ	חפץ	24
בהמה	בְּהֵמָה	bhmh	בהמה	24
השנה	הַשָּׁנָה	hʃnh	השנה	24
מ"ם	מֵ"ם	m"m	mem	23
שפת	שְׂפַת	ʃfs	sfas	23
מטות	מַטּוֹת	mtis	matəs	23
נגינה	נְגִינָה	nɡinh	nəginə	23
חילוק	חילוק	xilik	xilək	23
חלה	חַלָּה	xlh	xalə	22
נחת	נַחַת	nxs	naxəs	22
נסתלק	נִסְתַּלֵּק	nsslk	נסתלק	22
הלכה	הֲלָכָה	hlxh	haloxə	22
סדרה	סִדְרָה	sdrh	sidrə	22
קשיות	קשיות	kʃjis	קשיות	22
כהנים	כֹּהֲנִים	xhnim	kohanim	22
לב	לֵב	lb	lev	22
מכבד	מְכַבֵּד	mxbd	mxabəd	22
מלמד	מְלַמֵּד	mlmd	məlaməd	22
"כי	"כִּי	"xi	ki	21
זרה	זָרָה	zrh	zorə	21
פרה	פָּרָה	frh	porə	21
חיזוק	חִיזּוּק	xizik	חיזוק	21
כן	כֵּן	xən	kejn	21
שקל	שֶׁקֶל	ʃkl	ʃekl	21
בשמחה	בְּשִׂמְחָה	bʃmxh	בשמחה	20
גלח	גלח	ɡlx	galəx	20
מתן	מַתַּן	msən	matan	20
קדושת	קְדוּשַׁת	kdiʃs	kdəʃas	20
תולדות	תּוֹלְדוֹת	sildis	tojldəs	20
אותיות	אוֹתִיּוֹת	isjis	אותיות	20
עבירות	עבֿירות	ɛbiris	עבירות	20
זאת	זֹאת	zas	zos	20
חוזק	חוזק	xizk	xojzək	20
עדת	עֲדַת	ɛds	adas	20
תלמידי	תַּלְמִידֵי	slmidi	talmidej	20
דברים	דְּבָרִים	dbrim	dvorim	20
הלל	הַלֵּל	hll	הלל	20
כסדר	כְּסֵדֶר	xsdr	כסדר	20
צדק	צֶדֶק	ʦdk	צדק	20
מחשבה	מַחֲשָׁבָה	mxʃbh	maxʃovə	19
תרומה	תְּרוּמָה	srimh	trumə	19
בשלח	בְּשַׁלַּח	bʃlx	bəʃalax	19
מחבר	מְחַבֵּר	mxbr	מחבר	19
מסכת	מַסֶּכֶת	msxs	מסכת	19
פנחס	פִּנְחָס	fnxs	pinxəs	19
יתברך	יִתְבָּרַךְ	isbrx	jisborəx	19
שמות	שְׁמוֹת	ʃmis	שמות	19
בראשית	בְּרֵאשִׁית	braʃis	בראשית	19
מחיה	מְחַיֶה	mxih	מחיה	19
מדריגה	מַדְרֵגָה	mdriɡh	madrejgə	19
השמים	הַשָּׁמַיִם	hʃmim	haʃomajim	19
בכל	בְּכָל	bxl	bəxol	19
דף	דַף	df	daf	19
יראת	יִרְאַת	iras	jiras	19
מנחת	מִנְחַת	mnxs	מנחת	18
רחמים	רַחֲמִים	rxmim	raxamim	18
חלות	חַלּוֹת	xlis	xaləs	18
תהילים	תהילים	ʃilim	tilim	18
גזירה	גזירה	ɡzirh	gzajrə	18
מסכים	מַסְכִּים	msxim	מסכים	18
מרגלים	מְרַגְּלִים	mrɡlim	məraglɪm	18
בטל	בָּטֵל	btl	botl	18
יחוס	יִחוּס	ixis	יחוס	18
נה	נַ	nh	na	18
רבן	רַבָּן	rbən	rabən	18
תזריע	תַּזְרִיעַ	szriə	tazriə	18
תענית	תַּעֲנִית	sɛnis	tanəs	18
תפיסה	תְּפִיסָה	sfiʃ	tfisə	17
משמח	מְשַׂמֵּחַ	mʃmx	משמח	17
תרגום	תַּרְגּוּם	srɡim	targəm	17
תפילות	תְּפִלּוֹת	sfilis	tfiləs	17
אחדות	אַחְדוּת	axdis	axdəs	17
עדות	עֵדוּת	ɛdis	ejdəs	17
למעלה	לְמַעְלָה	lmɛlh	ləmalə	17
אבֿרהם	אַבְרָהָם	avrhm	avrohom	17
שבטים	שְׁבָטִים	ʃbtim	שבטים	17
כה	כֹּה	xh	koj	17
קל	אֵל	kl	ejl	17
רק	רַק	rk	rak	17
רמ"ח	רַמַ"ח	rəm"x	ramax	16
שפחה	שִׁפְחָה	ʃfxh	ʃifxə	16
בחינה	בְּחִינָה	bxinh	bxinə	16
הכנסת	הַכְנָסַת	hxnss	הכנסת	16
מתנות	מַתָּנוֹת	msnis	matonəs	16
פת	פַּת	fs	pas	16
שנת	שְׁנַת	ʃns	ʃnas	16
חוזה	חוֹזֶה	xiʒ	חוזה	16
בחורים	בַּחוּרִים	bxirim	בחורים	16
השפעות	הַשְׁפָּעוֹת	hʃfɛis	haʃpoəs	16
הקדמה	הַקְדָמָה	hkdmh	hakdomə	16
מצה	מַצָה	mʧ	matsə	16
נוח	נוֹחַ	nix	noəx	16
עשרת	עֲשֶׂרֶת	ɛʃrs	aserəs	16
שליח	שָׁלִיחַ	ʃlix	ʃliəx	16
תהיה	תִּהְיֶה	ʃih	tije	16
מנורה	מְנוֹרָה	mnirh	mnoyre	16
חסידישע	חֲסִידִישֶׁע	xsidiʃə	חסידישע	16
יוחנן	יוֹחָנָן	jixnn	jojxənən	16
מנהג	מִנְהָג	mnhɡ	minhag	16
תרועה	תְּרוּעָה	sriɛh	trujə	16
ש"ס	שַׁ"ס	ʃ"s	ʃas	15
בהמות	בְּהֵמוֹת	bhmis	behejmes	15
חדש	חָדָשׁ	xdʃ	xodoʃ	15
מת	מֵת	ms	mes	15
נתן	נָתָן	nsən	nosn	15
נפתלי	נַפְתָּלִי	nfsli	naftoli	15
טובות	טוֹבוֹת	tibis	tojvəs	15
כפרה	כַּפָּרָה	xfrh	kaporə	15
חטא	חֵטְא	xta	xet	15
מידות	מִדּוֹת	midis	midəs	15
יתן	יִתֵּן	isən	jitən	15
יחיד	יָחִיד	ixid	jəxid	15
כנגד	כְּנֶגֶד	xnɡd	כנגד	15
להם	לָהֶם	lhm	lohem	15
מכפר	מְכַפֵּר	mxfr	mxapər	15
מם	מֵם	məm	mem	15
משמש	מְשַׁמֵּשׁ	mʃmʃ	məʃaməʃ	15
משפט	מִשְׁפָּט	mʃft	miʃpət	15
חרטה	חרטה	xrth	חרטה	14
ברכת	בִּרְכַּת	brxs	birkas	14
כתב	כְּתַב	xsb	ksav	14
מתקן	מְתַקֵּן	mskən	mtakn	14
רחם	רַחֵם	rxəm	raxem	14
חשבון	חֶשְׁבּוֹן	xʃbin	חשבון	14
ישתבח	יִשְׁתַּבַּח	iʃsbx	jiʃtabax	14
מיתה	מִיתָה	miʃ	misə	14
תפארת	תִּפְאֶרֶת	sfars	תפארת	14
חסידות	חֲסִידוּת	xsidis	חסידות	14
למה	לָמָּה	lmh	lomə	14
התעוררות	הִתְעוֹרְרוּת	hsɛirris	התעוררות	14
חטאת	חַטָּאת	xtas	xatəs	14
העלפֿן	העלפֿן	hɛlfən	העלפן	14
אותו	אוֹתוֹ	isi	ojso	14
הרב	הָרַב	hrb	harav	14
יתרו	יִתְרוֹ	isri	jisro	14
לבן	לָבָן	lbən	lovn	14
לה	לָא	lh	la	14
לה'	לַה'	lhʔ	lashem	14
מדבר	מִדְבָּר	mdbr	midbər	14
נר	נֵר	nr	ner	14
שמש	שמש	ʃmʃ	ʃaməs	14
תרי"ג	תַּרְיַ"ג	sri"ɡ	tarjag	13
מחילה	מחילה	mxilh	mxilə	13
תוכחה	תּוֹכָחָה	sixxh	toyxəxə	13
צמח	צֶמַח	ʦmx	tseməx	13
קרח	קֹרַח	krx	kojrəx	13
שלח	שְׁלַח	ʃlx	ʃlax	13
חלומות	חֲלוֹמוֹת	xlimis	xalojməs	13
להודות	לְהוֹדוֹת	lhidis	ləhojdəs	13
סליחות	סְלִיחוֹת	slixis	slixəs	13
הכנה	הַכָנָה	hxnh	הכנה	13
חוק	חֹק	xik	xɔk	13
רוח	רוּחַ	rix	רוח	13
טרעפֿט	טרעפֿט	trɛft	treft	13
בלק	בָּלָק	blk	balak	13
בשר	בְּשַׂר	bʃr	בשר	13
גר	גֵר	ɡr	ger	13
דם	דָּם	dəm	dom	13
הך	הַךְ	hx	xax	13
חנינא	חֲנִינָא	xnina	חנינא	13
יונתן	יוֹנָתָן	jinsən	יונתן	13
כסף	כֶּסֶף	xsf	kesef	13
לכם	לָכֶם	lxəm	לכם	13
מבשר	מְבַשֵׂר	mbʃr	מבשר	13
פסק	פּסק	pask	psak	13
חב"ד	חב"ד	xb"d	xabad	12
תשפ"ו	תשפ"ו	sʃf"i	taʃpav	12
מחלה	מַחֲלָה	mxlh	maxlə	12
מתנה	מַתָּנָה	msnh	matonə	12
מנוחה	מְנוּחָה	mnixh	מנוחה	12
סחורה	סחורה	sxirh	sxojre	12
בשבת	בְּשַׁבָּת	bʃubɛs	bəʃabəs	12
כנסת	כְּנֶסֶת	xnss	כנסת	12
מחל	מַחַל	mxl	maxl	12
נשמות	נְשָׁמוֹת	nʃmis	nəʃoməs	12
נשמת	נִשְׁמַת	nʃms	niʃmas	12
ששת	שֵׁשֶׁת	ʃʃs	ʃejʃəs	12
מחזיר	מַחֲזִיר	mxzir	maxzər	12
מצליח	מַצְלִיחַ	mʦlix	matsliəx	12
נגינות	נְגִינוֹת	nɡinis	nəginəs	12
סגולות	סגולות	sɡilis	sguləs	12
פרשיות	פּרשיות	frʃjis	parʃijəs	12
טענות	טַעֲנוֹת	tɛnis	tajnes	12
מגלה	מְגַלֶה	mɡlh	megale	12
מלכה	מַלְכָּה	mlxh	malkə	12
קבלה	קַבָּלָה	kblh	קבלה	12
רבקה	רִבְקָה	rbx	rivkə	12
בכיות	בְּכִיּוֹת	bxjis	בכיות	12
חוב	חוֹב	xib	xəv	12
חסוף	חֲשׂוֹף	xsif	χasəv	12
ישמח	יִשְׂמַח	iʃmx	jismax	12
מנוח	מָנוֹחַ	mnix	מנוח	12
נחמו	נַחֲמוּ	nxmi	nəxəmi	12
קהילה	קְהִילָה	xilh	kəhilə	12
דארפֿן	דאַרפֿן	darfən	darfn	12
העלפֿט	העלפֿט	hɛlft	העלפט	12
כרבים	כְּרַבִּים	xrbim	krabim	12
סוכּה	סֻכָּה	six	sukə	12
דבר	דָּבָר	dbr	דבר	12
ויקח	וַיִּקַּח	ɔɪkx	vajikax	12
וישלח	וַיִּשְׁלַח	ɔɪʃlx	vajɪʃlax	12
מספר	מִסְפַּר	msfr	mispər	12
מקרב	מְקָרֵב	mkrb	מקרב	12
פרט	פְּרָט	frt	prat	12
שבט	שֵׁבֶט	ʃbt	שבט	12
שקר	שֶׁקֶר	ʃkr	ʃɛkər	12
תירוץ	תֵּירוּץ	siriʦ	tejrəts	12
ש"ך	ש"ך	ʃ"x	ʃax	11
נשתנה	נִּשְׁתַּנָּה	nʃsnh	niʃtanɔ	11
הלכות	הִלְכוֹת	hlxis	xilxəs	11
חזרן	חַזֶרְן	xzrən	xazərn	11
מדת	מִדַּת	mds	midas	11
מחזק	מְחַזֵּק	mxzk	məxazək	11
מחלל	מְחַלֵּל	mxll	מחלל	11
מחשבות	מַחֲשָׁבוֹת	mxʃbis	maxʃovəs	11
מכת	מַכַּת	mxs	makəs	11
קח	קַח	kx	kax	11
שבחים	שְׁבָחִים	ʃbxim	ʃvoxim	11
שמחת	שִׂמְחַת	ʃmxs	simxəs	11
גשמיות	גשמיות	ɡʃmjis	גשמיות	11
זמירות	זְמִירוֹת	zmiris	זמירות	11
חתונות	חתונות	xsinis	xasənəs	11
תהילות	תְהִלּוֹת	ʃilis	tiləjs	11
במה	בַּמֶּה	bmh	bamɛ	11
לשמה	לִשְׁמָהּ	lʃmh	lɪʃmɔ	11
אורחים	אוֹרְחִים	irxim	אורחים	11
מציאות	מְצִיאוּת	mʦiais	mtsiəs	11
"דער	"דֶער	"dɛr	der	11
אסתר	אֶסְתֵּר	assr	ɛstər	11
תורת	תּוֹרַת	sirs	tojras	11
"וואס	"וואָס	"vus	vos	11
"ניין	"ניין	"naɪn	najn	11
הלילה	הַלַּיְלָה	hlilh	halajlə	11
קדושה	קְדוּשָׁה	kdiʃh	kdɪʃə	11
אהבתי	אָהַבְתִּי	ahbsi	ahavti	11
במ	בַּם	bəm	במ	11
גן	גַן	ɡən	gan	11
הכהן	הַכֹּהֵן	hxhn	hakojən	11
הם	הֵם	hm	hem	11
הנט	האַנט	hnt	hant	11
כך	כָּךְ	xx	kax	11
כף	כַּף	xf	kaf	11
ממזר	מַמְזֵר	mmzr	ממזר	11
שיחתי	שִׂיחָתִי	ʃixsi	sixusi	11
אתב"ש	אַתְבַּ"שׁ	asb"ʃ	atbaʃ	10
זצ"ל	זַצַ"ל	zʦ"l	zatsal	10
מהר"ל	מַהֲרַ"ל	mhr"l	maharal	10
מחנה	מַחֲנֶה	mxnh	maxnə	10
הרחמן	הָרַחֲמָן	hrxmən	haraxman	10
חם	חָם	xəm	כאם	10
שפלות	שִׁפְלוּת	ʃflis	שפלות	10
תהלים	תְּהִלִּים	ʃlim	tilim	10
