count	phrase	key	words	source	in_engine	current_ipa
847	זכרונו לברכה	זכרונו לברכה	2	known	no	zxrˈini livrˈuxə
569	יום טוב	יומ טוב	2	known	no	jɔjm tɔjv
558	ארץ ישראל	ארצ ישראל	2	known	no	ˈɛrəʦ jisrˈuəl
406	ראש השנה	ראש השנה	2	known	no	rɔjʃ haʃˈunu
402	כלל ישראל	כלל ישראל	2	known	no	klal jisrˈuəl
351	שבת קודש	שבת קודש	2	known	no	ʃˈabəs kidʃ
327	יום כיפור	יומ כיפור	2	known	no	jɔjm xifˈir
297	ראש חודש	ראש חודש	2	known	no	rɔjʃ xˈɔjdəʃ
245	רבונו של עולם	רבונו של עולמ	3	known	no	rbˈini ʃɛl ˈɔjləm
218	ברוך השם	ברוכ השמ	2	known	no	bˈurəx haʃˈɛm
163	בית מדרש	בית מדרש	2	known	yes	bis-mˈɛdrəʃ
162	בית המדרש	בית המדרש	2	known	yes	bˈismədrəʃ
156	תשעה באב	תשעה באב	2	known	no	tˈiʃə bab
131	בעל הבית	בעל הבית	2	known	no	baːl habˈajis
126	בית דין	בית דינ	2	known	yes	bajs din
107	זכר צדיק לברכה	זכר צדיק לברכה	3	known	no	zˈajxɛr ʦˈadik livrˈuxə
106	עולם הבא	עולמ הבא	2	known	no	ˈɔjləm hba
104	ערב שבת	ערב שבת	2	known	no	ɛrb ʃˈabəs
101	ראש ישיבה	ראש ישיבה	2	known	no	rɔjʃ jəʃˈivə
94	מוצאי שבת	מוצאי שבת	2	known	no	mˈiʦaː ʃˈabəs
79	קידוש השם	קידוש השמ	2	known	no	kˈidəʃ haʃˈɛm
75	חול המועד	חול המועד	2	known	no	xul hmˈiəd
70	לך לך	לכ לכ	2	books	no	ləxˈu ləxˈu
67	אהבת ישראל	אהבת ישראל	2	known	no	ˈahavas jisrˈuəl
60	שבע ברכות	שבע ברכות	2	known	no	ʒbə brˈuxəs
57	עולם הזה	עולמ הזה	2	known	no	ˈɔjləm hˈazɛ
53	הנה מה	הנה מה	2	books	no	hˈinaj ma
50	מחצית השקל	מחצית השקל	2	books	no	maxˈaʦis haʃˈɛkɛl
49	מה נשתנה	מה נשתנה	2	books	no	ma niʃtˈanu
44	יום כיפּור	יומ כיפור	2	known	no	jɔjm xipˈir
40	מלך מלכי המלכים	מלכ מלכי המלכימ	3	known	no	mˈajləx mlxi hmlxim
37	אחים גם	אחימ גמ	2	books	no	ˈaxim ɡam
35	בעזרת השם	בעזרת השמ	2	known	no	bəˈɛzras haʃˈɛm
