word_bare	canonical_pointed	n_variants_before	total_count	source
א	אַ	10	25321	gemini
ער	עֶר	6	21188	gemini
איז	אִיז	3	20445	gemini
די	דִּי	10	19814	gemini
האט	הָאָט	18	17030	gemini
דער	דֶער	9	14034	gemini
וואס	וואָס	19	12104	gemini
און	אוּן	7	10920	majority
פון	פֿוּן	21	10726	majority
מען	מֶען	8	10287	gemini
אז	אַז	6	9639	gemini
דעם	דֶעם	7	8036	gemini
דאס	דאָס	15	7707	gemini
זיך	זִיךְ	3	7561	gemini
נישט	נִישְׁט	10	7253	gemini
אין	אִין	5	7157	gemini
איך	אִיךְ	5	6173	gemini
פאר	פֿאַר	28	5719	gemini
זאגט	זאָגט	19	5649	gemini
מיט	מִיט	3	5240	gemini
צו	צוּ	4	5110	majority
עס	עֶס	4	5097	gemini
דא	דאָ	13	4960	gemini
געווען	גֶעוועֶן	18	4826	gemini
זיין	זייַן	8	4801	gemini
אזוי	אַזוי	28	4725	gemini
אים	אִים	3	4635	gemini
יא	יאָ	11	3957	gemini
געזאגט	גֶעזאָגט	30	3521	gemini
ס'איז	ס'אִיז	11	3446	gemini
ווי	ווִי	15	3432	gemini
אבער	אָבֶער	21	3236	gemini
נאך	נאָך	9	2978	gemini
זאל	זאָל	10	2918	gemini
דאך	דאָך	16	2721	gemini
מיר	מִיר	2	2674	gemini
שוין	שוֹין	11	2592	gemini
האבן	האָבְן	31	2514	gemini
אויף	אוֹיף	8	2491	gemini
קען	קֶען	6	2423	gemini
אן	אַן	7	2395	gemini
מע	מֶע	6	2308	gemini
ווען	ווֶען	11	2299	gemini
וועט	ווֶעט	7	2281	gemini
דארט	דאָרט	10	2206	gemini
שטייט	שְׁטֵייט	14	2176	gemini
גייט	גֵייט	6	2101	gemini
נאר	נאָר	10	2061	gemini
אזא	אַזָא	12	1938	gemini
שבת	שַׁבָּת	9	1918	gemini
זענען	זֶענֶען	7	1880	gemini
אלע	אַלֶע	9	1875	gemini
זאגן	זאָגְן	17	1848	gemini
דארף	דאַרף	18	1793	gemini
האב	האָב	17	1737	gemini
תורה	תּוֹרָה	8	1620	gemini
זאך	זאַך	12	1618	gemini
ר	רְ	7	1611	gemini
עפעס	עֶפֶעס	16	1608	gemini
זיי	זֵיי	5	1587	gemini
קיין	קֵיין	6	1533	gemini
מיין	מייַן	11	1504	gemini
משה	מֹשֶׁה	4	1450	gemini
ביי	בַּייַ	13	1450	gemini
קומט	קוּמְט	6	1441	gemini
יידן	ייִדְן	8	1234	gemini
מעשה	מַעֲשֶׂה	9	1197	gemini
יעדער	יֶעדֶער	11	1142	gemini
אויך	אוֹיךְ	14	1131	gemini
געהאט	גֶעהאַט	15	1128	gemini
אייבערשטער	אֵייבֶּערְשְׁטֶער	43	1114	gemini
זייער	זֵייֶער	11	1102	gemini
ווייל	ווייַל	21	1085	gemini
גאנצע	גאַנְצֶע	16	1077	gemini
וויל	ווִיל	6	1056	gemini
זי	זִי	3	1051	gemini
דו	דוּ	5	1040	majority
וואך	וואָך	22	1038	gemini
טאטע	טאַטֶע	9	1025	gemini
איינער	אֵיינֶער	15	1004	gemini
געמאכט	גֶעמַאַכְט	20	994	gemini
ישראל	יִשְׂרָאֵל	7	980	gemini
ניגון	נִיגּוּן	11	978	gemini
מאל	מָאָל	7	953	gemini
מענטש	מֶענְטְשׁ	11	945	gemini
אמאל	אַמָאָל	15	932	gemini
הייליגער	הֵיילִיגֶער	21	928	gemini
ביסל	בִּיסְל	11	928	gemini
זעט	זֶעט	4	922	gemini
מיינט	מֵיינְט	11	922	gemini
הייסט	הֵייסְט	18	917	gemini
געווארן	גֶעוואָרְן	22	909	gemini
ייד	ייִד	3	908	gemini
געזען	גֶעזֶען	7	890	gemini
ווארט	וואָרְט	27	881	gemini
יאר	יאָר	4	876	gemini
אוי	אוֹי	5	852	gemini
סא	סאָ	8	829	gemini
מאכן	מאַכְן	11	829	gemini
טאקע	טאַקֶע	8	826	gemini
גיין	גֵיין	6	824	gemini
יעצט	יֶעצְט	7	806	gemini
מאכט	מאַכְט	11	804	gemini
געוואלט	גֶעוואָלְט	20	802	gemini
יעקב	יַעֲקֹב	9	800	gemini
אדער	אָדֶער	8	797	gemini
דיר	דִיר	5	795	gemini
אויפן	אוֹיפֿן	14	774	gemini
גמרא	גְּמָרָא	7	770	gemini
פרשת	פָּרָשַׁת	10	761	gemini
ה	הַ	3	755	gemini
פלעגט	פֿלֶעגְט	15	752	gemini
זאכן	זאַכְן	14	749	gemini
ברענגט	בְּרֶענְגְט	17	741	gemini
סאך	סַאַךְ	8	741	gemini
כי	כִּי	3	738	gemini
צוויי	צְווֵיי	18	734	gemini
געבן	גֶעבְן	12	721	gemini
ווייסט	ווֵייסְט	29	702	gemini
מענטשן	מֶענְטְשְׁן	12	695	gemini
עולם	עוֹלָם	10	694	gemini
בית	בֵּית	8	687	gemini
טאג	טאָג	6	685	gemini
קומען	קוּמֶען	6	684	gemini
גארנישט	גאָרנִישְׁט	19	676	gemini
אריין	אַרייַן	9	675	gemini
אויב	אוֹיבּ	12	675	gemini
איר	אִיר	4	674	gemini
געגאנגען	גֶעגַאַנְגֶען	14	656	gemini
געהערט	גֶעהֶערְט	8	631	gemini
ווער	ווֶער	10	630	gemini
בעל	בַּעַל	6	625	gemini
געלט	גֶעלְט	6	623	gemini
יוסף	יוֹסֵף	5	623	gemini
אברהם	אַבְרָהָם	6	622	gemini
וועגן	ווֶעגְן	10	618	gemini
לא	לֹא	9	613	gemini
בין	בִּין	6	602	gemini
אלץ	אַלְץ	4	602	gemini
סך	סַךְ	5	596	gemini
צום	צוּם	4	594	majority
וואלט	וואָלְט	15	591	gemini
געקומען	גֶעקוּמֶען	8	586	gemini
אפילו	אַפֿילוּ	16	585	gemini
צדיקים	צַדִּיקִים	6	583	gemini
את	אֶת	4	580	gemini
רעדן	רֶעדְן	7	580	gemini
צדיק	צַדִּיק	4	579	gemini
גרויסע	גְרוֹיסֶע	11	578	gemini
ממש	מַמָּשׁ	7	562	gemini
קענען	קֶענֶען	4	560	gemini
וועלט	ווֶעלְט	12	560	gemini
ארויס	אַרוֹיס	9	551	gemini
איין	אֵיין	7	550	gemini
חיים	חַייִם	4	550	gemini
הייליגן	הֵיילִיגְן	21	545	gemini
געגעבן	גֶעגֶעבְן	14	540	gemini
דריי	דְרַייַ	6	532	gemini
רעדט	רֶעדְט	5	531	gemini
דע	דֶע	5	531	gemini
דארטן	דאָרְטְן	9	527	gemini
אויס	אוֹיס	6	524	gemini
פארן	פֿאַרְן	24	521	gemini
גוטע	גוּטֶע	4	520	gemini
דעמאלטס	דֶעמָאלְטְס	22	517	gemini
שיינע	שֵׁיינֶע	11	516	gemini
וואי	ווִאי	7	514	gemini
טוב	טוֹב	8	509	gemini
ניין	נַייְן	10	503	gemini
השם	הַשֵּׁם	4	502	gemini
פרעגט	פְֿרֶעגְט	15	501	gemini
מער	מֶער	4	497	gemini
גוט	גוּט	3	496	gemini
יום	יוֹם	2	494	gemini
רש"י	רַשִׁ"י	13	493	gemini
נו	נוּ	3	493	majority
אזעלכע	אַזֶעלְכֶע	9	492	gemini
געפרעגט	גֶעפְֿרֶעגְט	16	487	gemini
של	שֶׁל	4	484	gemini
וועלן	ווֶעלְן	7	482	gemini
זאלן	זָאָלְן	9	480	gemini
מ'האט	מְ'הָאָט	12	477	gemini
טוט	טוּט	2	474	gemini
לברכה	לִבְרָכָה	5	471	gemini
זען	זֶען	7	471	gemini
ביים	בַּייַם	18	463	gemini
וועל	ווֶעל	4	461	gemini
פסוק	פָּסוּק	6	460	gemini
יארצייט	יאָרְצַייְט	20	460	gemini
סע	סֶע	3	457	gemini
דערציילט	דֶערְצֵיילְט	15	455	gemini
אליין	אַלֵיין	10	454	gemini
קינדער	קִינְדֶער	8	447	gemini
געקענט	גֶעקֶענְט	6	446	gemini
עסן	עֶסְן	6	446	gemini
געדארפט	גֶעדאַרפֿט	39	446	gemini
צי	צִי	2	442	gemini
על	עַל	3	439	gemini
גיט	גִּיט	4	437	gemini
כל	כָּל	8	435	gemini
יצחק	יִצְחָק	4	430	gemini
פונעם	פֿוּנֶעם	13	428	gemini
הקדוש	הַקָּדוֹשׁ	5	427	gemini
פשט	פְּשָׁט	7	423	gemini
באשעפער	בַּאַשֶׁעפֶֿער	18	420	gemini
איי	אַייַ	7	417	gemini
הייליגע	הֵיילִיגֶע	16	416	gemini
טאן	טאָן	5	414	gemini
ראש	רֹאשׁ	12	410	gemini
האלט	הַאַלְט	9	408	gemini
ווייס	ווַייַס	25	408	gemini
אונז	אוּנְז	4	400	gemini
ספר	סֵפֶר	5	400	gemini
שם	שֵׁם	6	399	gemini
ברוך	בָּרוּךְ	10	398	gemini
רבינו	רַבֵּינוּ	6	398	gemini
בני	בְּנֵי	11	394	gemini
אראפ	אַראָפּ	20	392	gemini
אינטערעסאנטע	אִינְטֶערֶעסַאנְטֶע	15	392	gemini
גאר	גאָר	9	392	gemini
אייך	אַייַך	14	389	gemini
ווערן	ווֶערְן	10	389	gemini
בן	בֶּן	6	386	gemini
ביז	בִּיז	7	386	gemini
זכרונו	זִכְרוֹנוֹ	6	379	gemini
וויסן	ווִיסְן	10	378	gemini
תשובה	תְּשׁוּבָה	12	375	gemini
צוריק	צוּרִיק	5	375	gemini
פארציילט	פֿאַרְצֵיילְט	29	372	gemini
אמת	אֱמֶת	4	371	gemini
איינע	אַייַנֶע	10	370	gemini
מצוה	מִצְוָה	3	369	gemini
זיינע	זַייַנֶע	11	368	gemini
נעמט	נֶעמְט	5	366	gemini
ווערטער	ווֶערְטֶער	12	366	gemini
אלעס	אַלֶעס	4	357	gemini
שטיקל	שְׁטִיקְל	8	355	gemini
אל	אֶל	6	354	gemini
אנדערע	אַנְדֶערֶע	7	353	gemini
נעמען	נֶעמֶען	5	353	gemini
לערנען	לֶערְנֶען	7	352	gemini
טעג	טֶעג	4	352	gemini
אינטערעסאנט	אִינְטֶערֶעסַאַנְט	13	351	gemini
שלום	שָׁלוֹם	5	349	gemini
זיס	זִיס	2	348	gemini
דארפן	דאַרפֿן	30	348	gemini
דיך	דִיךְ	5	347	gemini
שרייבט	שְׁרַייבְט	16	347	gemini
צייט	צַייַט	8	346	gemini
