rank,word,freq,layer,gold_ipa,gold,source,chezky_hint,review_note
1,די,4153,G,də | di,de|di,chezky-verified,de,
2,איז,2456,G,iz,iz,chezky-approved,,
3,און,2190,G,in,in,chezky-approved,,
4,פון,1804,G,fin,fin,chezky-approved,,
5,אין,1607,G,in,in,chezky-approved,,
6,נישט,1592,G,niʃt,nisht,chezky-approved,,
7,וואס,1437,G,vus,vus,chezky-approved,,
8,צו,1325,G,ʦi,tsi,chezky-approved,,
9,אז,1298,G,az,az,chezky-approved,,
10,האט,1252,G,hut | hɔt,hut|hot,chezky-approved,,
11,עס,1151,G,ɛs,es,chezky-approved,,
12,איך,1139,G,ix,ikh,chezky-approved,,
13,מיט,993,G,mit,mit,chezky-approved,,
14,פאר,947,G,far,far,chezky-approved,,
15,מען,883,G,mɛn,men,chezky-approved,,
16,ער,843,G,ɛr,er,chezky-verified,err,
17,זיך,809,G,zix,zikh,chezky-approved,,
18,דער,728,G,dɛr,der,chezky-approved,,
19,זיין,703,G,zaːn,zaan,chezky-approved,,
20,ווי,684,G,vi,vi,chezky-approved,,
21,אויף,641,G,oʊf | af,ouf|af,chezky-verified,OH-f,ouf standalone; af as reduced clitic
22,דא,543,G,du,du,chezky-verified,do,
23,דאס,530,G,dus,dus,chezky-approved,,
24,קען,529,G,kɛn,ken,chezky-approved,,
25,דעם,473,G,dejm | dɛm,deym|dem,chezky-verified,name,
26,זיי,458,G,zaj,zay,chezky-approved,,
27,אבער,450,G,ˈɔbər,ober,chezky-approved,,
28,אן,441,G,un | an,un|an,chezky-approved,,
29,מיר,417,G,mir,mir,chezky-approved,,
30,געווען,401,G,ɡəvˈejn,geveyn,chezky-approved,,
31,האבן,401,G,hubn | hɔbn,hubn|hobn,chezky-verified,clubbin',
32,שוין,401,G,ʃɔjn,shoyn,chezky-approved,,
33,זענען,372,G,zˈɛnən,zenen,chezky-approved,,
34,קיין,364,G,kan | kajn,kan|kayn,chezky-verified,kan,
35,ווען,354,G,vɛn,ven,chezky-approved,,
36,נאר,340,G,nɔr,nor,chezky-verified,door,
37,אויב,338,G,ɔjb,oyb,chezky-verified,oyb,
38,האב,337,G,hub | hɔb,hub|hob,chezky-verified,tub,
39,אזוי,330,G,azˈɔj,azoy,chezky-approved,,
40,נאך,316,G,nux,nukh,chezky-approved,,
41,ביי,310,G,baː | ba | baj,baa|ba|bay,chezky-approved,,
42,אויך,302,G,ɔjx | oʊx,oykh|oukh,chezky-verified,oykh,"וי *ō/ou (Weinreich 44), not û-class 54; default ɔj"
43,זייער,287,G,zˈajər,zayer,chezky-approved,,
44,אדער,286,G,ˈɔdər,oder,chezky-verified,brother,
45,זאל,281,G,zul,zul,chezky-approved,,
46,וועט,277,G,vɛt,vet,chezky-approved,,
47,אלע,253,G,ˈalə,ale,chezky-approved,,
48,איינער,250,G,ˈajnər,ayner,chezky-approved,,
49,גייט,215,G,ɡajt,gayt,chezky-approved,,
50,מיין,213,G,maːn | majn,maan|mayn,chezky-verified,maan,
51,מער,210,G,mɛr,mer,chezky-verified,share,
52,ס'איז,197,G,siz,siz,chezky-verified,biz,
53,ווייל,193,G,vaːl | vajl,vaal|vayl,chezky-approved,,
54,דארף,191,G,daf | darf,daf|darf,chezky-verified,daf,coda r vocalized
55,אים,177,G,ejm | im,eym|im,chezky-verified,aim,
56,איין,175,G,ajn,ayn,chezky-approved,,
57,דו,170,G,di | du,di|du,chezky-approved,,
58,יא,168,G,ju,yu,chezky-approved,,
59,ישראל,166,L,jisrˈuəl,yisruel,chezky-approved,,
60,איבער,160,G,ˈibər,iber,chezky-approved,,
61,יעצט,157,G,jɛʦt,yetst,chezky-approved,,
62,איר,156,G,ir,ir,chezky-approved,,
63,אויס,155,G,oʊs | ɔjs,ous|oys,chezky-verified,gross,
64,מאכן,155,G,maxn,makhn,chezky-approved,,
65,געווארן,153,G,ɡəvˈɔrn,gevorn,chezky-verified,gevo-ren,
66,קענען,152,G,kˈɛnən,kenen,chezky-approved,,
67,וועלט,151,G,vɛlt,velt,chezky-approved,,
68,צום,151,G,ʦim | ʦum,tsim|tsum,chezky-approved,,
