word	count	ipa	variants	route	confidence	reason	layer
די	3976	də	di	lexicon	HIGH		G
א	3287	a		rule	LOW	alef-default	G
ער	2782	ɛr		lexicon	HIGH		G
איז	2484	iz	is	lexicon	HIGH		G
און	2420	in		lexicon	HIGH		G
האט	2212	hut	hɔt	lexicon	HIGH		G
וואס	1835	vus		lexicon	HIGH		G
נישט	1714	niʃt		lexicon	HIGH		G
דער	1647	dɛr		lexicon	HIGH		G
אין	1576	in		lexicon	HIGH		G
איך	1555	ix		lexicon	HIGH		G
פון	1552	fin		lexicon	HIGH		G
אז	1511	az	as	lexicon	HIGH		G
צו	1083	ʦi		lexicon	HIGH		G
זיין	993	zaːn		lexicon	HIGH		G
זיך	966	zix		lexicon	HIGH		G
מיט	957	mit		lexicon	HIGH		G
ס'איז	945	siz	sis	lexicon	HIGH		G
געווען	907	ɡəvˈejn		lexicon	HIGH		G
דעם	830	dejm	dɛm	lexicon	HIGH		G
זאגט	709	zuɡt	zukt	lexicon	HIGH		G
דא	705	du		lexicon	HIGH		G
פאר	700	far		lexicon	HIGH		G
אויף	678	oʊf	af	lexicon	HIGH		G
יא	639	ju		lexicon	HIGH		G
דאס	629	dus		lexicon	HIGH		G
עס	625	ɛs		lexicon	HIGH		G
אים	572	ejm	im	lexicon	HIGH		G
מיר	565	mir		lexicon	HIGH		G
מען	557	mɛn		lexicon	HIGH		G
אזוי	529	azˈɔj		lexicon	HIGH		G
האבן	526	hubn	hɔbn	lexicon	HIGH		G
זיי	505	zaj		lexicon	HIGH		G
ווי	504	vi		lexicon	HIGH		G
האב	490	hub	hɔb|hup	lexicon	HIGH		G
אן	481	un	an	lexicon	HIGH		G
שוין	462	ʃɔjn		lexicon	HIGH		G
אבער	445	ˈɔbər		lexicon	HIGH		G
דו	444	di	du	lexicon	HIGH		G
נאך	427	nux		lexicon	HIGH		G
געזאגט	415	ɡəzˈuɡt	ɡəzˈukt	lexicon	HIGH		G
רבי	371	rˈɛbə	rˈɛbi	lexicon	HIGH		L
קיין	360	kan	kajn	lexicon	HIGH		G
ווען	354	vɛn		lexicon	HIGH		G
זאל	348	zul		lexicon	HIGH		G
קען	332	kɛn		lexicon	HIGH		G
אונז	324	inz	inʦ|indz|ins	lexicon	HIGH		G
ביי	318	baː	ba|baj	lexicon	HIGH		G
וועט	310	vɛt		lexicon	HIGH		G
דאך	307	dɔx		lexicon	HIGH		G
זענען	302	zˈɛnən		lexicon	HIGH		G
זאגן	300	zuɡn		lexicon	HIGH		G
מ'האט	297	mhut		rule	MED	clitic	G
יעצט	281	jɛʦt		lexicon	HIGH		G
אייבערשטער	281	ˈajbərʃtər		rule	LOW	alef-default	G
גייט	277	ɡajt		lexicon	HIGH		G
מיין	253	maːn	majn	lexicon	HIGH		G
אלע	252	ˈalə		lexicon	HIGH		G
