word	corpus_count	ipa	source	confidence	other_reading	phonetic_respelling
די	3976	də	lexicon	HIGH		
א	3287	a	rule	LOW	ˈaləf	אַלעף
ער	2782	ɛr	lexicon	HIGH		
איז	2484	iz	lexicon	HIGH		
און	2420	in	lexicon	HIGH		
האט	2212	hut	lexicon	HIGH		
וואס	1835	vus	lexicon	HIGH		
נישט	1714	niʃt	lexicon	HIGH		
דער	1647	dɛr	lexicon	HIGH		
אין	1576	in	lexicon	HIGH		
איך	1555	ix	lexicon	HIGH		
פון	1552	fin	lexicon	HIGH		
אז	1511	az	lexicon	HIGH		
צו	1083	ʦi	lexicon	HIGH		
זיין	993	zaːn	lexicon	HIGH		
זיך	966	zix	lexicon	HIGH		
מיט	957	mit	lexicon	HIGH		
ס'איז	945	siz	lexicon	HIGH		
געווען	907	ɡəvˈejn	lexicon	HIGH		
דעם	830	dejm	lexicon	HIGH		
זאגט	709	zuɡt	lexicon	HIGH		
דא	705	du	lexicon	HIGH		
פאר	700	far	lexicon	HIGH		
אויף	678	oʊf	lexicon	HIGH		
יא	639	ju	lexicon	HIGH		
דאס	629	dus	lexicon	HIGH		
עס	625	ɛs	lexicon	HIGH		
אים	572	ejm	lexicon	HIGH		
מיר	565	mir	lexicon	HIGH		
מען	557	mɛn	lexicon	HIGH		
אזוי	529	azˈɔj	lexicon	HIGH		
האבן	526	hubn	lexicon	HIGH		
זיי	505	zaj	lexicon	HIGH		
ווי	504	vi	lexicon	HIGH		
האב	490	hub	lexicon	HIGH		
אן	481	un	lexicon	HIGH		
שוין	462	ʃɔjn	lexicon	HIGH		
אבער	445	ˈɔbər	lexicon	HIGH		
דו	444	di	lexicon	HIGH		
נאך	427	nux	lexicon	HIGH		
געזאגט	415	ɡəzˈuɡt	lexicon	HIGH		
רבי	371	rˈɛbə	lexicon	HIGH		
קיין	360	kan	lexicon	HIGH		
ווען	354	vɛn	lexicon	HIGH		
זאל	348	zul	lexicon	HIGH		
קען	332	kɛn	lexicon	HIGH		
אונז	324	inz	lexicon	HIGH		
ביי	318	baː	lexicon	HIGH		
וועט	310	vɛt	lexicon	HIGH		
דאך	307	dɔx	lexicon	HIGH		
זענען	302	zˈɛnən	lexicon	HIGH		
זאגן	300	zuɡn	lexicon	HIGH		
מ'האט	297	mhut	rule	MED		
אייבערשטער	281	ˈajbərʃtər	rule	LOW		
יעצט	281	jɛʦt	lexicon	HIGH		
גייט	277	ɡajt	lexicon	HIGH		
מיין	253	maːn	lexicon	HIGH		
אלע	252	ˈalə	lexicon	HIGH		
ר	250	rajʃ	rule	LOW	rajʃ	רייש
ווייל	247	vaːl	lexicon	HIGH		
טאג	247	tuɡ	lexicon	HIGH		
נאר	242	nɔr	lexicon	HIGH		
עפעס	233	ˈɛpəs	lexicon	HIGH		
איד	230	jid	lexicon	HIGH		
דארף	229	daf	lexicon	HIGH		
אזא	228	azˈa	lexicon	HIGH		
ישראל	223	jisrˈuəl	lexicon	HIGH		
דארטן	220	dɔrtn	lexicon	HIGH		
יאר	220	jur	lexicon	HIGH		
זייער	214	zˈajər	lexicon	HIGH		
זאך	204	zax	lexicon	HIGH		
געהאט	202	ɡəhˈat	lexicon	HIGH		
איינער	197	ˈajnər	lexicon	HIGH		
בין	197	bin	lexicon	HIGH		
דארט	197	dɔrt	lexicon	HIGH		
קומט	195	kimt	lexicon	HIGH		
רב	186	ruv	lexicon	HIGH		
מענטש	185	mɛnʧ	lexicon	HIGH		
וויל	179	vil	lexicon	HIGH		
דיר	178	dir	lexicon	HIGH		
כל	175	kɔl	lexicon	HIGH		
היינט	173	haːnt	lexicon	HIGH		
טון	173	tin	lexicon	HIGH		
אויך	171	ɔjx	lexicon	HIGH		
וואו	171	vi	lexicon	HIGH		
געווארן	169	ɡəvˈɔrn	lexicon	HIGH		
צוויי	166	ʦvaj	lexicon	HIGH		
גאנצע	165	ɡˈanʦə	lexicon	HIGH		
אויב	164	ɔjb	lexicon	HIGH		
וואך	163	vɔx	lexicon	HIGH		
אריין	160	arˈaːn	lexicon	HIGH		
ה	158	haj	rule	LOW	haj	היי
על	158	al	lexicon	HIGH		
קינדער	157	kˈindər	lexicon	HIGH		
שבת	157	ʃˈabəs	lexicon	HIGH		
איין	153	ajn	lexicon	HIGH		
זאכן	153	zaxn	lexicon	HIGH		
גוט	151	ɡit	lexicon	HIGH		
אידן	149	jidn	lexicon	HIGH		
מאכן	146	maxn	lexicon	HIGH		
אמאל	144	amˈul	lexicon	HIGH		
קומען	142	kˈimən	lexicon	HIGH		
אויס	141	oʊs	lexicon	HIGH		
קענען	139	kˈɛnən	lexicon	HIGH		
גיין	137	ɡajn	lexicon	HIGH		
געמאכט	137	ɡəmˈaxt	lexicon	HIGH		
טאטע	135	tˈatə	lexicon	HIGH		
מ'דארף	133	mdaf	rule	MED		
צום	130	ʦim	lexicon	HIGH		
ניין	128	najn	lexicon	HIGH		
שטייט	128	ʃtajt	lexicon	HIGH		
תורה	128	tˈɔjrə	lexicon	HIGH		
בית	127	bajs	lexicon	HIGH		
וועגן	126	vejɡn	lexicon	HIGH		
מ'קען	125	mˈɛkən	lexicon	HIGH		
לא	124	lɔj	lexicon	HIGH		
יעדער	123	jˈɛdər	lexicon	HIGH		
נצבים	123	niʦˈuvim	printed-index	MED	nʦbim	ניצאָווים
אלעס	122	ˈaləs	lexicon	HIGH		
אסאך	121	ˈasax	lexicon	HIGH		
פארוואס	120	farvˈus	lexicon	HIGH		
מעשה	119	mˈaːsə	lexicon	HIGH		
אנדערע	117	ˈandərə	lexicon	HIGH		
יום	117	jɔjm	lexicon	HIGH		
מער	117	mɛr	lexicon	HIGH		
צייט	117	ʦaːt	lexicon	HIGH		
