xeus_phone	yiddish
a	a
aː	aː
ã	a
ă	a
ä	a
a̝	a
a̠	a
a̤	a
a̯	a
b	b
bʰ	b
bʲ	b
bʷ	b
bː	b
bˠ	b
bˤ	b
b̤	b
c	k
cʰ	k
cʲ	k
cʼ	k
cː	k
ç	x
çː	x
d	d
dʰ	d
dʲ	d
dʷ	d
dː	d
dˠ	d
dˤ	d
d̤	d
d̪	d
d͡z	z
d͡ʑ	ʤ
d͡ʒ	ʤ
d͡ʒː	ʤ
e	ɛ
eː	ej
ẽ	ɛ
ĕ	ɛ
ë	ɛ
e̝	ɛ
e̞	ɛ
e̤	ɛ
e̯	ɛ
f	f
fʲ	f
fʷ	f
fˀ	f
fː	f
fˠ	f
fˤ	f
f̩	f
h	h
hʲ	h
hː	h
hˠ	h
h̩	h
i	i
iː	i
ĩ	i
ĭ	i
i̝	i
i̤	i
i̯	i
j	j
jː	j
jˠ	j
jˤ	j
j̃	j
j̩	j
k	k
kʰ	k
kʲ	k
kʷ	k
kʼ	k
kˀ	k
kː	k
k͡p	k p
k͡x	k x
l	l
lʲ	l
lː	l
lˠ	l
lˤ	l
l̠	l
l̤	l
l̥	l
l̩	l
l̪	l
l̴	l
m	m
mʲ	m
mʷ	m
mˀ	m
mː	m
mˠ	m
mˤ	m
m̤	m
m̥	m
m̩	m
n	n
nʲ	n
nː	n
nˠ	n
nˤ	n
n̠	n
n̤	n
n̥	n
n̩	n
n̪	n
o	ɔ
oː	oʊ
õ	ɔ
ö	ɔ
o̝	ɔ
o̞	ɔ
o̤	ɔ
o̯	ɔ
p	p
pʰ	p
pʲ	p
pʷ	p
pʼ	p
pˀ	p
pː	p
pˠ	p
p͡f	p f
q	k
qʷ	k
qʼ	k
r	r
rʲ	r
rː	r
rˠ	r
rˤ	r
r̝	r
r̤	r
r̥	r
r̩	r
s	s
sʰ	s
sʲ	s
sʷ	s
sː	s
sˠ	s
sˤ	s
s̠	s
s̩	s
s̪	s
s̺	s
s̻	s
t	t
tʰ	t
tʲ	t
tʷ	t
tʼ	t
tˀ	t
tː	t
tˠ	t
tˤ	t
t̠	t
t̪	t
t͡s	ʦ
t͡sʰ	ʦ
t͡sʲ	ʦ
t͡sʲː	ʦ
t͡sʼ	ʦ
t͡sː	ʦ
t͡sˠ	ʦ
t͡ɕ	ʧ
t͡ɕʰ	ʧ
t͡ɕː	ʧ
t͡ɬ	t l
t͡ʃ	ʧ
t͡ʃʰ	ʧ
t͡ʃʲ	ʧ
t͡ʃʼ	ʧ
t͡ʃː	ʧ
u	u
uː	u
ũ	u
ü	u
u̝	u
ṳ	u
u̯	u
v	v
vʲ	v
vː	v
vˠ	v
v̤	v
w	v
wʲ	v
wː	v
wˠ	v
w̃	v
w̤	v
x	x
xʰ	x
xʲ	x
xʷ	x
xː	x
y	i
yː	i
y̆	i
y̯	i
z	z
zʲ	z
zʷ	z
zː	z
zˠ	z
zˤ	z
z̤	z
æ	a
æː	aː
æ̃	a
æ̝	a
æ̞	a
æ̯	a
ð	z
ðˠ	z
ðˤ	z
ð̞	z
ð̠	z
ð̩	z
ø	ɛ
øː	ɛ
ø̈	ɛ
ø̞	ɛ
ħ	x
ŋ	ŋ
ŋʲ	ŋ
ŋː	ŋ
ŋ̤	ŋ
ŋ̥	ŋ
ŋ̩	ŋ
ŋ̰	ŋ
œ	ɛ
œː	ɛ
œ̃	ɛ
œ̞	ɛ
ǀ	DROP
ǀʰ	DROP
ǁ	DROP
ǁʰ	DROP
ǃ	DROP
ǃʰ	DROP
ɐ	a
ɐˤ	a
ɐ̃	a
ɐ̯	a
ɑ	a
ɑː	aː
ɑ̃	a
ɑ̈	a
ɑ̯	a
ɒ	ɔ
ɒː	ɔ
ɓ	b
ɔ	ɔ
ɔː	ɔ
ɔˤ	ɔ
ɔ̃	ɔ
ɔ̈	ɔ
ɔ̤	ɔ
ɔ̯	ɔ
ɕ	ʃ
ɕʰ	ʃ
ɕː	ʃ
ɖ	d
ɖʰ	d
ɖː	d
ɖ̤	d
ɗ	d
ɘ	ə
ɘː	ə
ə	ə
əˀ	ə
