id,sentence_yi,pointed_yi,ipa,agreement,needs_review,diff_flash|pro,ipa_flash,ipa_pro
1,ס'איז דאָ א שפֿע פֿון געלט!,ס'אִיז דאָ אַ שֶׁפַע פֿוּן גֶעלְט!,siz du a ʃˈɛfa fin ɡɛlt!,both models,no,,siz du a ʃˈɛfa fin ɡɛlt!,siz du a ʃˈɛfa fin ɡɛlt!
2,"יעדן טאג, אויפ'ן ספרים איז יעדן יום א א מענטש קען אטעמען.","יֶעדְן טאָג, אוֹיפֿ'ן סְפָרִים אִיז יֶעדְן יוֹם אַ אַ מֶענְטְשׁ קֶען אַטעמען.","jˈɛdən tuɡ, ˈɔɪfən sfˈurim iz jˈɛdən jɔɪm a a mɛnʧ kɛn ˈatɛmɛn.",both models,no,,"jˈɛdən tuɡ, ˈɔɪfən sfˈurim iz jˈɛdən jɔɪm a a mɛnʧ kɛn ˈatɛmɛn.","jˈɛdən tuɡ, ˈɔɪfən sfˈurim iz jˈɛdən jɔɪm a a mɛnʧ kɛn ˈatɛmɛn."
3,הויבן מיר אן צו גיין פון די גאונות,הוֹיבְן מִיר אַן צוּ גֵיין פֿוּן דִּי גְּאוֹנוּת,hˈɔɪbən mir an ʦi ɡaɪn fin di ɡaˈɔɪnis,both models,no,,hˈɔɪbən mir an ʦi ɡaɪn fin di ɡaˈɔɪnis,hˈɔɪbən mir an ʦi ɡaɪn fin di ɡaˈɔɪnis
4,"מען האט געגעסן א גאנצע קרבן מיט פערציק חלות, פערציק חלות איז געווען דארט.","מֶען הָאָט גֶעגֶעסְן אַ גאַנְצֶע קָרְבָּן מִיט פֶֿערְצִיק חַלּוֹת, פֶֿערְצִיק חַלּוֹת אִיז גֶעוועֶן דאָרט.","mɛn hut ɡɛɡˈɛsən a ɡˈanʦə kˈurbun mit fˈɛrʦik xˈalɔɪs, fˈɛrʦik xˈalɔɪs iz ɡɛvˈɛn durt.",both models,no,,"mɛn hut ɡɛɡˈɛsən a ɡˈanʦə kˈurbun mit fˈɛrʦik xˈalɔɪs, fˈɛrʦik xˈalɔɪs iz ɡɛvˈɛn durt.","mɛn hut ɡɛɡˈɛsən a ɡˈanʦə kˈurbun mit fˈɛrʦik xˈalɔɪs, fˈɛrʦik xˈalɔɪs iz ɡɛvˈɛn durt."
5,"נעם אן ענוועלאפ מיט א שרייבער, וועסטו זען, עט גיין נאר אזוי.","נֶעם אַן ענוועלאַפּ מִיט אַ שרייַבער, ווֶעסְטוּ זֶען, עֶט גֵיין נאָר אַזוי.","nɛm an ˈɛnvɛlap mit a ʃrˈaːbɛr, vˈɛsti zɛn, ɛt ɡaɪn nur azˈɔɪ.",pro (differ),yes,ɛnvɛlˈap|ˈɛnvɛlap,"nɛm an ɛnvɛlˈap mit a ʃrˈaːbɛr, vˈɛsti zɛn, ɛt ɡaɪn nur azˈɔɪ.","nɛm an ˈɛnvɛlap mit a ʃrˈaːbɛr, vˈɛsti zɛn, ɛt ɡaɪn nur azˈɔɪ."
6,"אז דוא עולה וואס מ׳רעדט פון מחשבה איז ביוותר צורך, עקסטערע עקסטערע פאזיטיוו...","אַז דוּאַ עוֹלָה וואָס מְ׳רֶעדְט פֿוּן מַחֲשָׁבָה אִיז בְּיווֹתֶר צוֹרֶךְ, עֶקְסְטֶערֶע עֶקְסְטֶערֶע פּאָזִיטִיווֿ...","az dˈia ˈɛɔɪlə vus mɛ rɛdt fin maxaʃˈuvə iz bivˈɔɪsɛr ʦˈɔɪrɛx, ˈɛkstɛrə ˈɛkstɛrə puzitˈiv...",pro (differ),yes,"ɛˈɔɪlə|ˈɛɔɪlə maxaˈʃuvə|maxaʃˈuvə biˈvɔɪsɛr|bivˈɔɪsɛr ˈʦɔɪrɛx,|ʦˈɔɪrɛx, puziˈtiv...|puzitˈiv...","az dˈia ɛˈɔɪlə vus mɛ rɛdt fin maxaˈʃuvə iz biˈvɔɪsɛr ˈʦɔɪrɛx, ˈɛkstɛrə ˈɛkstɛrə puziˈtiv...","az dˈia ˈɛɔɪlə vus mɛ rɛdt fin maxaʃˈuvə iz bivˈɔɪsɛr ʦˈɔɪrɛx, ˈɛkstɛrə ˈɛkstɛrə puzitˈiv..."
7,"איד מאכט חתונה, האט ער געברענגט א קרבן תודה פארן אייבערשטן.","אִיד מאַכְט חֲתוּנָה, הָאָט עֶר גֶעבְּרֶענְגְט אַ קָרְבָּן תּוֹדָה פֿאַרְן אֵייבֶּערְשְׁטְן.","id maxt xˈasɛnə, hut ɛr ɡɛbrˈɛnɡt a kˈurbun tˈɔɪdə fˈarən ˈaɪaɪbɛrʃtən.",pro (differ),yes,ɡɛbrɛnɡt|ɡɛbrˈɛnɡt,"id maxt xˈasɛnə, hut ɛr ɡɛbrɛnɡt a kˈurbun tˈɔɪdə fˈarən ˈaɪaɪbɛrʃtən.","id maxt xˈasɛnə, hut ɛr ɡɛbrˈɛnɡt a kˈurbun tˈɔɪdə fˈarən ˈaɪaɪbɛrʃtən."
8,"מע פארציילט אויף דעם מעשה פאר רבים, איז דאס א מוראדיקע זכות.","מֶע פֿאַרְצֵיילְט אוֹיף דֶעם מַעֲשֶׂה פֿאַר רַבִּים, אִיז דאָס אַ מוֹרָאדִיקֶע זְכוּת.","mɛ farʦˈaɪlt ɔɪf dɛm mˈaːsə far rˈabim, iz dus a mˈɔɪrudikə zxis.",pro (differ),yes,"rabˈim,|rˈabim,","mɛ farʦˈaɪlt ɔɪf dɛm mˈaːsə far rabˈim, iz dus a mˈɔɪrudikə zxis.","mɛ farʦˈaɪlt ɔɪf dɛm mˈaːsə far rˈabim, iz dus a mˈɔɪrudikə zxis."
9,ענעה עולה קומט אויף די מחשבה.,ענֶעה עוֹלָה קוּמְט אוֹיף דִּי מַחֲשָׁבָה.,ˈɛnə ˈɛɔɪlə kimt ɔɪf di maxaʃˈuvə.,both models,no,,ˈɛnə ˈɛɔɪlə kimt ɔɪf di maxaʃˈuvə.,ˈɛnə ˈɛɔɪlə kimt ɔɪf di maxaʃˈuvə.
10,מע קען נישט פארדעקן די מחשבה.,מֶע קֶען נִישְׁט פַֿאַרְדֶעקְן דִּי מַחֲשָׁבָה.,mɛ kɛn niʃt fardˈɛkən di maxaʃˈuvə.,both models,no,,mɛ kɛn niʃt fardˈɛkən di maxaʃˈuvə.,mɛ kɛn niʃt fardˈɛkən di maxaʃˈuvə.
