word	chezky_readings	heard_reading	share	clips	of_clips	note
דער	d ɛ r	d ə r	28%	1629	5840	
דעם	d ej m | d ɛ m	d ə m	30%	1091	3662	
אן	u n | a n	i n	35%	401	1133	
וואו	v i	v u	49%	225	460	
גאר	ɡ u r	ɡ a r	36%	146	411	
מ'קען	m ɛ k ə n | m k ɛ n	m ɛ k ɛ n	69%	143	207	
פונעם	f i n ə m | f u n ə m	f i n ɛ m	28%	120	428	
ס'האט	s ə h u t | ʃ u t	ʃ ɔ t	26%	90	352	
בערך	b ə ej r ə x | b ə ɛ r ə x	b ɛ ɛ r ə x	66%	55	83	
עטליכע	ɛ t l ə x ə	ɛ t l ɛ x ə	33%	54	163	
דאן	d a n	d u n	37%	50	134	
זעהט	z ej t | z ɛ t	z aj t	75%	46	61	ej heard as aj: likely the ear, not the label
כדי	k ə d aj | k ə d ej	k ɛ d aj	42%	45	107	ej heard as aj: likely the ear, not the label
זעה	z ej | z ɛ	z aj	51%	29	57	ej heard as aj: likely the ear, not the label
בלויז	b l ɔj z	b l ɔj s	45%	26	58	
אינעם	i n ə m	i n ɛ m	47%	25	53	
למשל	l ə m u ʃ l	l ɛ m u ʃ l	32%	23	72	
האף	h u f	h ɔ f	29%	19	66	
ניו	n j u	n j i	70%	16	23	
אפאר	a p u r | a p ɔ r	a f a r	44%	15	34	
פין	p i n	f i n	88%	15	17	
סארט	s ɔ r t	s u r t	47%	14	30	
זעהן	z ej n	z aj n	50%	14	28	ej heard as aj: likely the ear, not the label
