word	layer	clips	chezky_readings	agreement	heard_readings (reading:count)
ער	G	10741	ɛ r	92%	ɛ r:9849; ə r:892
די	G	9854	d ə | d i	85%	d ə:7163; d ɛ:1296; d i:1208; d u:187
איז	G	9789	i z	85%	i z:8369; i s:707; u z:391; u s:322
האט	G	7081	h u t | h ɔ t	82%	h ɔ t:4719; h u t:1111; h i t:937; h a t:310; h aː t:4
וואס	G	6404	v u s	87%	v u s:5549; v i s:510; v a s:196; v ɔ s:148; v aː s:1
דער	G	5840	d ɛ r	72%	d ɛ r:4211; d ə r:1629
מען	G	5790	m ɛ n	96%	m ɛ n:5550; m ə n:240
און	G	5287	i n	98%	i n:5186; u n:101
נישט	G	4849	n i ʃ t	98%	n i ʃ t:4760; n u ʃ t:89
אז	G	4784	a z	86%	a z:4135; u z:183; u s:179; a s:147; ɔ z:108; ɔ s:24; aː s:4; aː z:4
איך	G	4756	i x	97%	i x:4594; u x:162
פון	G	4752	f i n	97%	f i n:4625; f u n:115; p i n:10; p u n:2
זיך	G	4156	z i x	94%	z i x:3896; z u x:260
דאס	G	4055	d u s	75%	d u s:3056; d i s:601; d a s:277; d ɔ s:113; d aː s:8
דעם	G	3662	d ej m | d ɛ m	69%	d ɛ m:2499; d ə m:1091; d aj m:52; d ej m:11; d aː m:9
אין	G	3409	i n	98%	i n:3344; u n:65
אזוי	G	3166	a z ɔj	95%	a z ɔj:3014; u z ɔj:124; ɔ z ɔj:20; a z oʊ:4; aː z ɔj:3; ɔ z oʊ:1
צו	G	3121	ʦ i	93%	ʦ i:2913; ʦ u:208
עס	G	3046	ɛ s	94%	ɛ s:2859; ə s:187
פאר	G	3027	f a r	94%	f a r:2850; f u r:107; f ɔ r:39; p a r:20; f aː r:8; p u r:3
זאגט	G	2893	z u ɡ t | z u k t	91%	z u k t:2349; z u ɡ t:296; z i ɡ t:136; z a ɡ t:39; z aː ɡ t:24; z ɔ ɡ t:17; z i k t:16; z a k t:11
מיט	G	2636	m i t	98%	m i t:2582; m u t:54
געווען	G	2476	ɡ ə v ej n	88%	ɡ ə v ej n:2168; ɡ ə v aj n:129; ɡ ɛ v aj n:109; ɡ ɛ v ej n:47; ɡ ɛ v aː n:15; ɡ ə v aː n:8
דא	G	2450	d u	80%	d u:1972; d i:221; d a:135; d ɔ:108; d aː:14
ווי	G	2388	v i	95%	v i:2263; v u:125
אים	G	2384	ej m | i m	91%	i m:2067; u m:157; ej m:109; aj m:46; aː m:5
זיין	G	2314	z aː n	69%	z aː n:1596; z aj n:279; z a n:180; z u n:172; z ej n:64; z ɔ n:23
אבער	G	2036	ɔ b ə r	86%	ɔ b ə r:1758; a b ɛ r:108; ɔ b ɛ r:56; a b ə r:50; u b ɛ r:37; u b ə r:26; aː b ɛ r:1
יא	G	1933	j u	96%	j u:1864; j i:42; j a:18; j ɔ:9
קען	G	1897	k ɛ n	98%	k ɛ n:1861; k ə n:36
געזאגט	G	1893	ɡ ə z u ɡ t | ɡ ə z u k t	89%	ɡ ə z u k t:1588; ɡ ə z u ɡ t:99; ɡ ɛ z u ɡ t:41; ɡ ə z i ɡ t:36; ɡ ə z a ɡ t:34; ɡ ɛ z i ɡ t:34; ɡ ɛ z u k t:32; ɡ ɛ z a ɡ t:7
מיר	G	1839	m i r	93%	m i r:1710; m u r:129
זאל	G	1777	z u l	76%	z u l:1342; z i l:255; z a l:107; z aː l:42; z ɔ l:31
ס'איז	G	1755	s i z	87%	s i z:1521; s i s:87; s u z:81; s u s:66
שוין	G	1666	ʃ ɔj n	100%	ʃ ɔj n:1665; ʃ oʊ n:1
נאך	G	1631	n u x	83%	n u x:1356; n i x:130; n ɔ x:74; n a x:71
דארף	G	1496	d a f | d a r f	92%	d a f:1378; d u f:64; d ɔ f:23; d ɔ r f:12; d u p:6; d a p:5; d ɔ p:4; d u r f:2
אויף	G	1485	oʊ f | a f	91%	a f:1336; u f:38; ɔ f:34; ɔj f:20; u p:17; oʊ f:12; ɔ p:12; a p:11
וועט	G	1482	v ɛ t	94%	v ɛ t:1391; v ə t:91
דאך	G	1455	d ɔ x	71%	d ɔ x:1030; d u x:299; d a x:115; d aː x:11
גייט	G	1404	ɡ aj t	98%	ɡ aj t:1381; ɡ ej t:22; ɡ aː t:1
דארט	G	1306	d ɔ r t	85%	d ɔ r t:1112; d u r t:149; d a r t:44; d aː r t:1
ווען	G	1265	v ɛ n	98%	v ɛ n:1242; v ə n:23
שטייט	G	1206	ʃ t aj t | ʃ t aː t	92%	ʃ t aj t:1108; ʃ t u t:57; ʃ t a t:29; ʃ t ɔ t:10; ʃ t ej t:1; ʃ t aː t:1
דו	G	1179	d i | d u	99%	d i:888; d u:275; d ɔ:9; d a:7
זאגן	G	1173	z u ɡ n	84%	z u ɡ n:987; z aː ɡ n:76; z i ɡ n:73; z a ɡ n:26; z ɔ ɡ n:11
אן	G	1133	u n | a n	59%	i n:401; a n:358; u n:305; aː n:46; ɔ n:23
קומט	G	1112	k i m t	98%	k i m t:1092; k u m t:20
נאר	G	1107	n ɔ r	61%	n ɔ r:679; n u r:257; n a r:167; n aː r:4
האב	G	1101	h u b | h ɔ b	89%	h ɔ b:919; h i b:80; h u b:58; h a b:40; h a p:2; h ɔ p:1; h i p:1
זענען	G	1076	z ɛ n ə n	68%	z ɛ n ə n:732; z ɛ n ɛ n:244; z ə n ə n:75; z ə n ɛ n:25
קיין	G	1076	k a n | k aj n	95%	k a n:890; k aj n:127; k u n:44; k ɔ n:7; k aː n:5; k ej n:3
זאך	G	1075	z a x	93%	z a x:999; z u x:41; z aː x:19; z ɔ x:16
אלע	G	1071	a l ə	95%	a l ə:1016; a l ɛ:17; u l ə:16; ɔ l ə:13; u l ɛ:6; aː l ə:3
אזא	G	1055	a z a	86%	a z a:905; a z aː:46; a z u:45; u z u:22; u z a:19; ɔ z a:8; a z ɔ:4; ɔ z u:3
רבי	L	1042	r ɛ b ə | r ɛ b i	94%	r ɛ b ə:898; r ɛ b i:81; r ɛ b ɛ:23; r ə b ə:19; r ə b i:11; r ɛ b u:6; r ə b ɛ:3; r ə b u:1
האבן	G	1026	h u b n | h ɔ b n	80%	h ɔ b n:605; h u b n:220; h i b n:123; h a b n:65; h aː b n:13
תורה	L	1002	t ɔj r ə	99%	t ɔj r ə:989; t ɔj r ɛ:13
זיי	G	946	z aj	92%	z aj:874; z aː:54; z ej:18
שבת	L	935	ʃ a b ə s	98%	ʃ a b ə s:916; ʃ u b ə s:6; ʃ u b ɛ s:6; ʃ a b ɛ s:4; ʃ ɔ b ɛ s:2; ʃ ɔ b ə s:1
עפעס	G	931	ɛ p ə s	81%	ɛ p ə s:752; ɛ f ɛ s:77; ɛ f ə s:39; ɛ p ɛ s:24; ə f ɛ s:23; ə f ə s:14; ə p ə s:1; ə p ɛ s:1
יעדער	G	897	j ɛ d ə r	98%	j ɛ d ə r:875; j ɛ d ɛ r:18; j ə d ə r:4
רב	L	885	r u v	86%	r u v:762; r i v:49; r u f:21; r a v:19; r i f:13; r a f:12; r ɔ v:6; r ɔ f:3
מיין	G	843	m aː n | m aj n	87%	m aj n:729; m a n:71; m u n:32; m aː n:5; m ɔ n:3; m ej n:3
וואך	G	831	v ɔ x	90%	v ɔ x:752; v u x:59; v a x:20
גאנצע	G	830	ɡ a n ʦ ə	91%	ɡ a n ʦ ə:758; ɡ u n ʦ ə:25; ɡ u n ʦ ɛ:18; ɡ a n ʦ ɛ:17; ɡ aː n ʦ ə:6; ɡ ɔ n ʦ ə:3; ɡ ɔ n ʦ ɛ:2; ɡ aː n ʦ ɛ:1
יאר	G	808	j u r	94%	j u r:756; j i r:36; j a r:8; j ɔ r:4; j aː r:4
זייער	G	792	z aj ə r	95%	z aj ə r:756; z aj ɛ r:19; z aː ə r:10; z ej ə r:6; z aː ɛ r:1
ביי	G	770	b aː | b a | b aj	94%	b a:676; b aj:51; b u:34; b ɔ:7; b ej:2
משה	N	756	m ɔj ʃ ə	99%	m ɔj ʃ ə:749; m ɔj ʃ ɛ:7
מענטש	G	754	m ɛ n ʧ	99%	m ɛ n ʧ:749; m ə n ʧ:5
דיר	G	749	d i r	92%	d i r:687; d u r:62
אויך	G	746	ɔj x | oʊ x	100%	oʊ x:507; ɔj x:239
געמאכט	G	720	ɡ ə m a x t	90%	ɡ ə m a x t:649; ɡ ɛ m a x t:41; ɡ ə m u x t:12; ɡ ɛ m u x t:12; ɡ ɛ m ɔ x t:3; ɡ ə m aː x t:1; ɡ ə m ɔ x t:1; ɡ ɛ m aː x t:1
